epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,833.409,1.03275,0.54862,1.10428,0.92313,0.96322,0.96258,0.67311,0.92211,0.45665,1.01378,0.000910273,0.000910273,0.000910273
112,840.594,0.99247,0.54926,1.09357,0.93983,0.94597,0.96561,0.69115,0.93244,0.46145,1.01478,0.000905557,0.000905557,0.000905557
113,847.803,0.99095,0.54483,1.09282,0.94466,0.94778,0.97145,0.7138,0.88521,0.43911,1.00226,0.000900842,0.000900842,0.000900842
114,855.051,1.00379,0.54825,1.11572,0.95978,0.9658,0.9895,0.73002,0.88349,0.44741,1.00102,0.000896126,0.000896126,0.000896126
115,862.447,0.99532,0.53691,1.1202,0.96699,0.96479,0.99045,0.72373,0.87211,0.43787,0.99423,0.00089141,0.00089141,0.00089141
116,869.634,1.00403,0.54805,1.08569,0.94539,0.95555,0.97502,0.69422,0.89916,0.43066,1.00182,0.000886694,0.000886694,0.000886694
117,876.8,1.0597,0.55434,1.12917,0.97326,0.97742,0.98924,0.73362,0.89547,0.43021,1.00183,0.000881979,0.000881979,0.000881979
118,884.199,1.01024,0.54403,1.10088,0.9622,0.94444,0.97816,0.72521,0.89404,0.42334,0.9976,0.000877263,0.000877263,0.000877263
119,891.395,1.00578,0.53708,1.10133,0.95975,0.96949,0.99001,0.72305,0.88206,0.44309,0.99779,0.000872547,0.000872547,0.000872547
120,898.587,0.95651,0.54024,1.08166,0.97102,0.97328,0.98917,0.72381,0.90485,0.4367,1.00202,0.000867832,0.000867832,0.000867832
121,905.743,0.97744,0.51929,1.06928,0.96811,0.97451,0.98953,0.74396,0.85309,0.41972,0.98226,0.000863116,0.000863116,0.000863116
122,913.153,0.9722,0.52272,1.08875,0.96565,0.96876,0.9884,0.71963,0.91101,0.44736,1.01284,0.0008584,0.0008584,0.0008584
123,920.327,0.94883,0.50784,1.06917,0.95276,0.9452,0.9747,0.72793,0.86951,0.43556,0.98898,0.000853685,0.000853685,0.000853685
124,927.471,0.99617,0.51729,1.09313,0.97491,0.95731,0.98915,0.73045,0.85769,0.44929,0.98726,0.000848969,0.000848969,0.000848969
125,934.616,0.97312,0.5139,1.08426,0.96358,0.97036,0.98845,0.73053,0.85019,0.42852,0.98049,0.000844253,0.000844253,0.000844253
126,941.794,0.95995,0.52713,1.07304,0.97142,0.96674,0.98982,0.7488,0.85149,0.42795,0.98174,0.000839537,0.000839537,0.000839537
127,949.226,0.99005,0.53952,1.07882,0.96972,0.97343,0.99127,0.75232,0.84796,0.42269,0.9819,0.000834822,0.000834822,0.000834822
128,956.6,0.94159,0.5127,1.06617,0.96981,0.97087,0.99068,0.73731,0.85781,0.41676,0.98561,0.000830106,0.000830106,0.000830106
129,963.75,0.97181,0.52988,1.07758,0.95914,0.97907,0.99053,0.76098,0.8472,0.41617,0.97681,0.00082539,0.00082539,0.00082539
