epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,630.901,0.91144,0.55833,1.20776,0.94689,0.94988,0.98575,0.76616,0.82901,0.46345,1.10408,0.00180794,0.00180794,0.00180794
99,637.232,0.86472,0.54085,1.17166,0.95498,0.95371,0.98789,0.77709,0.82006,0.44528,1.08831,0.00180596,0.00180596,0.00180596
100,643.313,0.91183,0.54171,1.18631,0.93385,0.94585,0.98312,0.77302,0.80081,0.45847,1.06749,0.00180398,0.00180398,0.00180398
101,649.255,0.88312,0.52897,1.17283,0.94348,0.9607,0.98836,0.76319,0.84625,0.45439,1.12274,0.001802,0.001802,0.001802
102,655.197,0.90282,0.54074,1.20398,0.96125,0.95318,0.98803,0.77459,0.81338,0.43767,1.10413,0.00180002,0.00180002,0.00180002
103,661.126,0.86982,0.5179,1.17701,0.94991,0.96054,0.987,0.76449,0.82544,0.44009,1.11335,0.00179804,0.00179804,0.00179804
104,667.001,0.85144,0.4986,1.15936,0.96171,0.95197,0.98729,0.78111,0.8059,0.42512,1.08717,0.00179606,0.00179606,0.00179606
105,673.223,0.85209,0.50985,1.15731,0.95361,0.95157,0.98616,0.77113,0.80683,0.44912,1.09293,0.00179408,0.00179408,0.00179408
106,679.139,0.86382,0.52118,1.16207,0.94357,0.92751,0.98184,0.76902,0.81807,0.46075,1.1077,0.0017921,0.0017921,0.0017921
107,685.081,0.84783,0.49981,1.17407,0.94763,0.94934,0.98534,0.77586,0.82093,0.44895,1.10187,0.00179012,0.00179012,0.00179012
108,690.979,0.84934,0.49916,1.16606,0.94448,0.95085,0.9844,0.78148,0.7838,0.43943,1.07711,0.00178814,0.00178814,0.00178814
109,697.134,0.85423,0.52964,1.17244,0.95918,0.94934,0.9876,0.78774,0.79681,0.42531,1.07241,0.00178616,0.00178616,0.00178616
110,703.26,0.86331,0.50953,1.17045,0.96605,0.94423,0.98916,0.78081,0.81952,0.42881,1.09379,0.00178418,0.00178418,0.00178418
111,709.138,0.84091,0.49552,1.16259,0.96466,0.9441,0.98557,0.78604,0.79736,0.42955,1.07062,0.0017822,0.0017822,0.0017822
112,715.047,0.83131,0.49149,1.16527,0.96451,0.95197,0.98839,0.77562,0.8233,0.43483,1.10673,0.00178022,0.00178022,0.00178022
113,720.957,0.84539,0.50274,1.14918,0.95943,0.95006,0.98762,0.77123,0.82994,0.43981,1.12638,0.00177824,0.00177824,0.00177824
114,726.867,0.85298,0.51153,1.16301,0.96164,0.95546,0.98892,0.7807,0.79298,0.42241,1.07467,0.00177626,0.00177626,0.00177626
115,732.799,0.84809,0.49607,1.17287,0.95857,0.95895,0.98812,0.78839,0.77675,0.42358,1.05992,0.00177428,0.00177428,0.00177428
116,738.945,0.83296,0.47977,1.13985,0.94625,0.95334,0.98557,0.78136,0.76927,0.43887,1.05205,0.0017723,0.0017723,0.0017723
117,744.919,0.84835,0.49171,1.16724,0.93973,0.93962,0.98279,0.76313,0.82172,0.46459,1.08528,0.00177032,0.00177032,0.00177032
118,750.816,0.83864,0.49598,1.15667,0.94106,0.92028,0.97414,0.73355,0.8932,0.50519,1.13917,0.00176834,0.00176834,0.00176834
119,756.706,0.81889,0.49495,1.13404,0.97408,0.95179,0.98943,0.78881,0.77765,0.42226,1.06168,0.00176636,0.00176636,0.00176636
120,762.79,0.84223,0.48852,1.15436,0.97087,0.96065,0.99028,0.79639,0.76645,0.40257,1.05438,0.00176438,0.00176438,0.00176438
